X,Price ,lotsize,waterfront,age,land-value,air_cond,sewer,room
1,132500,0.09,No,10,5000,No,Private,1
2,140500,0.92,No,12,2000,No,Public,2
3,200000,0.99,No,20,750,No,Public,3
4,350200,1.02,No,30,6300,No,None,4
5,300000,1.12,No,45,5000,No,Public ,5
6,375000,1.25,No,12,3200,No,Public,6
7,284000,2.56,No,6,1200,No,Public,7
8,400000,3,No,5,4200,yes,Private,6
9,412500,2.36,No,22,4300,No,Public,2
10,425000,2.89,Yes,10,4500,No,Public,4
11,500000,3.54,No,3,4600,No,Public,3
12,552000,2.25,No,4,5120,Yes,Private,4
13,600000,4.6,No,5,5300,yes,Public,3
14,625000,4.7,No,6,5400,yes,Private,2
15,612300,4.65,No,7,6000,yes,Private,5
16,700000,4.59,Yes,8,6500,No,Private,6
17,763000,5.01,Yes,9,6700,yes,Private,7
18,800000,5.23,Yes,10,5500,yes,Private,8
19,860000,6.12,Yes,11,6600,yes,Private,9
20,1000000,7.18,Yes,15,8000,yes,Private,10
